date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:11:54	70512/70512	---M--	200	added ('OK')	image/jpeg	etag:%2211370-5e131a9fce31f%22	https://webredox.net/demo/wp/gmag/wp-content/uploads/2022/06/57-758x520.jpg	D:/blog_1/webredox.net/demo/wp/gmag/wp-content/uploads/2022/06/57-758x520.jpg	(from https://webredox.net/demo/wp/gmag/)
10:11:54	63561/63561	---MCZ	200	added ('OK')	text/html	etag:%22401456f68b2fe9b2839a4fd9d3cfc7b1%22	https://webredox.net/demo/wp/gmag/product/awesome-merch-wallet/	D:/blog_1/webredox.net/demo/wp/gmag/product/awesome-merch-wallet/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:54	44819/44819	---MCZ	200	added ('OK')	text/html	etag:%22691a8d9e75412dee3ba353984496b0d7%22	https://webredox.net/demo/wp/gmag/about/	D:/blog_1/webredox.net/demo/wp/gmag/about/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:55	64089/64089	---M--	200	added ('OK')	image/jpeg	etag:%22fa59-5e10625ecc06f%22	https://webredox.net/demo/wp/gmag/wp-content/uploads/2022/06/56-758x520.jpg	D:/blog_1/webredox.net/demo/wp/gmag/wp-content/uploads/2022/06/56-758x520.jpg	(from https://webredox.net/demo/wp/gmag/)
10:11:55	59671/59671	---MCZ	200	added ('OK')	text/html	etag:%22f72df5a17128fa27e9a62b3d2707e78b%22	https://webredox.net/demo/wp/gmag/category/technology/	D:/blog_1/webredox.net/demo/wp/gmag/category/technology/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:55	54198/54198	---MCZ	200	added ('OK')	text/html	etag:%22d7fba306a676d43eb7898ba7b93ccb06%22	https://webredox.net/demo/wp/gmag/author/admin/	D:/blog_1/webredox.net/demo/wp/gmag/author/admin/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:55	54401/54401	---MCZ	200	added ('OK')	text/html	etag:%2290bd7565ef04c67212a2be3ad8223306%22	https://webredox.net/demo/wp/gmag/category/politics/	D:/blog_1/webredox.net/demo/wp/gmag/category/politics/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:56	54451/54451	---MCZ	200	added ('OK')	text/html	etag:%22c70fac2ab449d28213782ef8dcaa0e54%22	https://webredox.net/demo/wp/gmag/author/webredox/	D:/blog_1/webredox.net/demo/wp/gmag/author/webredox/index.html	(from https://webredox.net/demo/wp/gmag/)
10:11:56	40149/40149	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Jul%202024%2003:11:58%20GMT	https://webredox.net/demo/wp/gmag/category.html	D:/blog_1/webredox.net/demo/wp/gmag/category.html	(from https://webredox.net/demo/wp/gmag/)
10:11:56	66592/66592	---M-Z	200	added ('OK')	text/html	etag:%223610-61c8b23a4af5c%22	https://webredox.net/demo/wp/gmag/additional-jobs-and-economic-growth-after-the-pandemic/	D:/blog_1/webredox.net/demo/wp/gmag/additional-jobs-and-economic-growth-after-the-pandemic/index.html	(from https://webredox.net/demo/wp/gmag/)
